Nr.	Satz	erkannt	natuerlich
1  	03a01Ab.wav	65,00     	35,00     
2  	03a01Eb.wav	60,00     	35,00     
3  	03a01Fa.wav	90,00     	75,00     
4  	03a01Lb.wav	70,00     	35,00     
5  	03a01Nc.wav	100,00     	95,00     
6  	03a01Tc.wav	65,00     	55,00     
7  	03a01Wa.wav	95,00     	90,00     
8  	08a01Aa.wav	75,00     	45,00     
9  	08a01Ab.wav	85,00     	55,00     
10  	08a01Ec.wav	60,00     	20,00     
11  	08a01Fd.wav	90,00     	50,00     
12  	08a01Lc.wav	95,00     	95,00     
13  	08a01Na.wav	95,00     	80,00     
14  	08a01Td.wav	75,00     	40,00     
15  	08a01Wa.wav	95,00     	75,00     
16  	08a01Wc.wav	100,00     	95,00     
17  	09a01Aa.wav	55,00     	25,00     
18  	09a01Ea.wav	100,00     	65,00     
19  	09a01Fa.wav	80,00     	60,00     
20  	09a01Lc.wav	75,00     	65,00     
21  	09a01Nb.wav	95,00     	75,00     
22  	09a01Tc.wav	10,00     	0,00     
23  	09a01Wb.wav	100,00     	85,00     
24  	10a01Ac.wav	90,00     	55,00     
25  	10a01Eb.wav	65,00     	15,00     
26  	10a01Fb.wav	95,00     	50,00     
27  	10a01Lb.wav	75,00     	65,00     
28  	10a01Lc.wav	70,00     	55,00     
29  	10a01Nb.wav	90,00     	85,00     
30  	10a01Tb.wav	35,00     	15,00     
31  	10a01Td.wav	75,00     	60,00     
32  	10a01Wa.wav	95,00     	60,00     
33  	11a01Aa.wav	85,00     	50,00     
34  	11a01Ab.wav	90,00     	70,00     
35  	11a01Ea.wav	25,00     	5,00     
36  	11a01Fa.wav	85,00     	45,00     
37  	11a01Ld.wav	95,00     	70,00     
38  	11a01Nd.wav	100,00     	80,00     
39  	11a01Td.wav	50,00     	30,00     
40  	11a01Wc.wav	100,00     	95,00     
41  	12a01Ab.wav	90,00     	45,00     
42  	12a01Eb.wav	75,00     	55,00     
43  	12a01Fb.wav	95,00     	70,00     
44  	12a01Lb.wav	90,00     	70,00     
45  	12a01Nb.wav	95,00     	75,00     
46  	12a01Tb.wav	60,00     	10,00     
47  	12a01Wc.wav	95,00     	80,00     
48  	13a01Ac.wav	95,00     	60,00     
49  	13a01Ea.wav	85,00     	60,00     
50  	13a01Ec.wav	90,00     	70,00     
51  	13a01Fd.wav	100,00     	80,00     
52  	13a01Lb.wav	100,00     	90,00     
53  	13a01Nb.wav	95,00     	75,00     
54  	13a01Ta.wav	70,00     	30,00     
55  	13a01Wb.wav	100,00     	75,00     
56  	14a01Aa.wav	90,00     	75,00     
57  	14a01Ac.wav	90,00     	80,00     
58  	14a01Ea.wav	85,00     	50,00     
59  	14a01Fa.wav	90,00     	55,00     
60  	14a01La.wav	75,00     	60,00     
61  	14a01Ld.wav	65,00     	45,00     
62  	14a01Na.wav	95,00     	75,00     
63  	14a01Tb.wav	45,00     	20,00     
64  	14a01Td.wav	45,00     	35,00     
65  	14a01Wa.wav	95,00     	90,00     
66  	14a01Wc.wav	95,00     	65,00     
67  	15a01Ad.wav	45,00     	15,00     
68  	15a01Ea.wav	95,00     	70,00     
69  	15a01Fb.wav	85,00     	60,00     
70  	15a01La.wav	100,00     	95,00     
71  	15a01Nb.wav	95,00     	85,00     
72  	15a01Tb.wav	75,00     	20,00     
73  	15a01Tc.wav	75,00     	50,00     
74  	15a01Wa.wav	95,00     	95,00     
75  	16a01Ab.wav	60,00     	40,00     
76  	16a01Ec.wav	90,00     	70,00     
77  	16a01Fc.wav	95,00     	65,00     
78  	16a01Lb.wav	100,00     	90,00     
79  	16a01Nc.wav	90,00     	85,00     
80  	16a01Tb.wav	100,00     	85,00     
81  	16a01Wb.wav	100,00     	85,00     
82  	03a02Ab.wav	90,00     	40,00     
83  	03a02Ea.wav	55,00     	25,00     
84  	03a02Fc.wav	85,00     	60,00     
85  	03a02Lc.wav	50,00     	35,00     
86  	03a02Nc.wav	100,00     	95,00     
87  	03a02Ta.wav	90,00     	75,00     
88  	03a02Wb.wav	100,00     	85,00     
89  	03a02Wc.wav	100,00     	90,00     
90  	08a02Aa.wav	70,00     	40,00     
91  	08a02Ab.wav	85,00     	60,00     
92  	08a02Ac.wav	85,00     	55,00     
93  	08a02Ec.wav	70,00     	25,00     
94  	08a02Fe.wav	100,00     	100,00     
95  	08a02La.wav	80,00     	75,00     
96  	08a02Na.wav	100,00     	70,00     
97  	08a02Tb.wav	90,00     	60,00     
98  	08a02Wc.wav	100,00     	85,00     
99  	09a02Ac.wav	70,00     	35,00     
100  	09a02Ea.wav	100,00     	75,00     
101  	09a02Eb.wav	85,00     	50,00     
102  	09a02Fa.wav	70,00     	50,00     
103  	09a02La.wav	100,00     	90,00     
104  	09a02Nc.wav	70,00     	45,00     
105  	09a02Ta.wav	35,00     	0,00     
106  	09a02Tb.wav	70,00     	20,00     
107  	09a02Wb.wav	100,00     	85,00     
108  	10a02Ab.wav	85,00     	65,00     
109  	10a02Ed.wav	35,00     	20,00     
110  	10a02Fa.wav	80,00     	45,00     
111  	10a02Lb.wav	90,00     	90,00     
112  	10a02Na.wav	90,00     	85,00     
113  	10a02Ta.wav	45,00     	30,00     
114  	10a02Tb.wav	70,00     	45,00     
115  	10a02Wa.wav	100,00     	80,00     
116  	11a02Ab.wav	85,00     	45,00     
117  	11a02Ec.wav	85,00     	60,00     
118  	11a02Fb.wav	85,00     	50,00     
119  	11a02La.wav	70,00     	45,00     
120  	11a02Ld.wav	80,00     	80,00     
121  	11a02Nc.wav	100,00     	85,00     
122  	11a02Tc.wav	85,00     	85,00     
123  	11a02Wc.wav	100,00     	80,00     
124  	12a02Ac.wav	90,00     	65,00     
125  	12a02Ec.wav	95,00     	70,00     
126  	12a02Fa.wav	35,00     	15,00     
127  	12a02Fb.wav	35,00     	15,00     
128  	12a02La.wav	60,00     	45,00     
129  	12a02Lc.wav	75,00     	75,00     
130  	12a02Nb.wav	90,00     	75,00     
131  	12a02Ta.wav	80,00     	45,00     
132  	12a02Wa.wav	90,00     	70,00     
133  	12a02Wc.wav	95,00     	80,00     
134  	13a02Ad.wav	90,00     	70,00     
135  	13a02Ec.wav	90,00     	60,00     
136  	13a02Fa.wav	90,00     	80,00     
137  	13a02Lc.wav	80,00     	70,00     
138  	13a02Nc.wav	90,00     	80,00     
139  	13a02Ta.wav	95,00     	85,00     
140  	13a02Wa.wav	95,00     	85,00     
141  	14a02Ab.wav	85,00     	60,00     
142  	14a02Ea.wav	95,00     	65,00     
143  	14a02Fd.wav	90,00     	65,00     
144  	14a02La.wav	80,00     	55,00     
145  	14a02Nc.wav	100,00     	85,00     
146  	14a02Tb.wav	80,00     	65,00     
147  	14a02Wa.wav	95,00     	75,00     
148  	14a02Wc.wav	95,00     	90,00     
149  	15a02Ac.wav	80,00     	65,00     
150  	15a02Ea.wav	100,00     	80,00     
151  	15a02Fa.wav	45,00     	5,00     
152  	15a02La.wav	95,00     	85,00     
153  	15a02Lc.wav	15,00     	10,00     
154  	15a02Na.wav	100,00     	100,00     
155  	15a02Ta.wav	95,00     	75,00     
156  	15a02Wb.wav	100,00     	80,00     
157  	15a02Wd.wav	100,00     	85,00     
158  	16a02Aa.wav	95,00     	50,00     
159  	16a02Ea.wav	100,00     	80,00     
160  	16a02Ec.wav	100,00     	75,00     
161  	16a02Fc.wav	90,00     	55,00     
162  	16a02Lb.wav	100,00     	85,00     
163  	16a02Nb.wav	80,00     	60,00     
164  	16a02Tc.wav	95,00     	85,00     
165  	16a02Wb.wav	100,00     	85,00     
166  	03a04Ac.wav	80,00     	50,00     
167  	03a04Ad.wav	90,00     	65,00     
168  	03a04Eb.wav	60,00     	20,00     
169  	03a04Fd.wav	100,00     	90,00     
170  	03a04Lc.wav	90,00     	85,00     
171  	03a04Nc.wav	100,00     	95,00     
172  	03a04Ta.wav	90,00     	75,00     
173  	03a04Wa.wav	90,00     	45,00     
174  	03a04Wc.wav	100,00     	65,00     
175  	08a04Aa.wav	90,00     	30,00     
176  	08a04Ec.wav	70,00     	25,00     
177  	08a04Ff.wav	100,00     	90,00     
178  	08a04La.wav	95,00     	95,00     
179  	08a04Nc.wav	100,00     	95,00     
180  	08a04Tb.wav	80,00     	70,00     
181  	08a04Wc.wav	100,00     	90,00     
182  	09a04Ab.wav	90,00     	40,00     
183  	09a04Ea.wav	90,00     	55,00     
184  	09a04Fd.wav	100,00     	80,00     
185  	09a04La.wav	100,00     	100,00     
186  	09a04Nb.wav	95,00     	90,00     
187  	09a04Ta.wav	45,00     	15,00     
188  	09a04Wa.wav	100,00     	75,00     
189  	10a04Ab.wav	40,00     	15,00     
190  	10a04Eb.wav	80,00     	20,00     
191  	10a04Fd.wav	80,00     	55,00     
192  	10a04Ld.wav	65,00     	55,00     
193  	10a04Nb.wav	90,00     	65,00     
194  	10a04Tb.wav	65,00     	45,00     
195  	10a04Wa.wav	100,00     	80,00     
196  	10a04Wb.wav	100,00     	85,00     
197  	11a04Ac.wav	95,00     	75,00     
198  	11a04Eb.wav	85,00     	50,00     
199  	11a04Ec.wav	80,00     	20,00     
200  	11a04Fd.wav	90,00     	85,00     
201  	11a04Ld.wav	40,00     	20,00     
202  	11a04Nd.wav	80,00     	55,00     
203  	11a04Tc.wav	75,00     	50,00     
204  	11a04Wa.wav	70,00     	30,00     
205  	11a04Wc.wav	90,00     	65,00     
206  	12a04Aa.wav	95,00     	55,00     
207  	12a04Eb.wav	75,00     	40,00     
208  	12a04Fa.wav	45,00     	10,00     
209  	12a04Fc.wav	55,00     	20,00     
210  	12a04Lb.wav	60,00     	50,00     
211  	12a04Nc.wav	75,00     	50,00     
