@RELATION RAVDESSAngryMale
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {angry male,calm male,disgust male,fearful male,happy male,neutral male,sad male,surprised male}

@DATA
0.069048,0.006705,3.040588,0.244356,0.227859,0.779579,0.015298,0.098073,-35.995434,1.228507,0.218512,0.034693,-0.058114,-0.052482,0.145424,0.018715,-0.045379,0.049139,-0.110213,-0.047469,-0.034623,0.006017,0.005006,0.013187,0.008170,0.014443,0.005765,0.076031,0.001944,0.005109,0.011380,0.006986,0.003159,0.025858,0.055473,0.009879,0.297126,0.077353,0.046810,0.537163,0.030416,0.105406,3.747699,0.783226,0.689285,0.480771,0.472818,0.268771,0.298722,0.214707,0.253718,0.208961,0.235620,0.213720,0.186359,0.006619,0.009106,0.013715,0.013412,0.021800,0.008458,0.039949,0.002663,0.005359,0.012266,0.006966,0.003994,0.012107,angry male
0.066500,0.004114,2.728948,0.248863,0.236346,0.688943,0.007918,0.061272,-35.204996,1.193390,0.018920,-0.016161,-0.057856,0.143979,0.107976,0.009407,-0.071778,-0.006353,-0.197630,-0.024365,-0.003409,0.004730,0.005195,0.032640,0.007033,0.012195,0.014265,0.090113,0.001820,0.006283,0.006470,0.010301,0.005088,0.032517,0.052613,0.004709,0.354835,0.072277,0.030715,0.457918,0.005905,0.058422,2.631317,0.700404,0.699863,0.505589,0.421985,0.339114,0.311600,0.267523,0.238096,0.268862,0.227685,0.282473,0.224682,0.006052,0.006775,0.033867,0.007355,0.013945,0.018632,0.043404,0.002811,0.010575,0.009543,0.013486,0.007922,0.014363,angry male
0.040454,0.007435,3.007376,0.159713,0.202812,0.386697,0.039613,0.067844,-33.229262,1.311221,0.013668,-0.106387,-0.188218,0.241985,0.103963,-0.033576,-0.029769,-0.103797,-0.024733,-0.018570,-0.023215,0.008901,0.002109,0.018853,0.007870,0.006528,0.008034,0.104914,0.002035,0.003158,0.009113,0.012307,0.003181,0.035283,0.033770,0.008362,0.268072,0.056357,0.042495,0.351896,0.046545,0.066347,2.777389,0.714263,0.757459,0.474797,0.527863,0.320223,0.290552,0.287617,0.234567,0.254201,0.242098,0.196526,0.195402,0.015501,0.004006,0.022231,0.012487,0.010551,0.016095,0.044360,0.003858,0.003199,0.010316,0.012637,0.003013,0.012798,angry male
0.055458,0.005975,2.872198,0.267739,0.246251,1.080978,0.004836,0.219054,-33.178709,1.531863,0.540880,0.234508,-0.230861,0.263632,0.169003,0.036554,0.159550,0.026938,0.024936,0.009423,0.021292,0.013601,0.002239,0.044280,0.006768,0.010083,0.004864,0.065109,0.001741,0.004191,0.009722,0.035927,0.006598,0.027611,0.032926,0.008255,0.310541,0.054714,0.026187,0.497215,0.002725,0.154655,2.608252,0.616141,0.540661,0.371233,0.373419,0.238078,0.290716,0.243362,0.228552,0.199375,0.176149,0.193471,0.154394,0.014347,0.001878,0.032805,0.007100,0.007489,0.005569,0.041133,0.002731,0.006216,0.009952,0.027887,0.011334,0.011572,angry male
0.055561,0.010500,2.804492,0.243167,0.257315,0.464165,0.011565,0.058146,-34.276072,1.933486,0.212820,0.178082,0.134404,0.094908,0.192179,0.091098,0.067987,0.006550,-0.100062,-0.009275,-0.014325,0.007060,0.002519,0.043075,0.006498,0.010736,0.004006,0.109929,0.002550,0.003435,0.012624,0.018426,0.006770,0.039747,0.049329,0.012900,0.366533,0.054517,0.027657,0.450200,0.011957,0.074752,2.606707,0.763286,0.640504,0.397084,0.319308,0.245304,0.286702,0.232289,0.194262,0.228024,0.194000,0.187536,0.162630,0.008675,0.004216,0.049815,0.010942,0.015592,0.004313,0.042708,0.007497,0.005011,0.015248,0.025994,0.013641,0.013444,angry male
0.069250,0.008718,2.551249,0.299412,0.253083,1.072376,0.006779,0.134469,-35.591097,1.541069,0.104176,0.062525,-0.096423,0.042686,0.120738,0.076865,0.006539,-0.016113,0.055742,0.047624,0.005053,0.007047,0.003463,0.037470,0.013476,0.010343,0.009873,0.105385,0.002015,0.004029,0.008591,0.010607,0.005705,0.035845,0.046073,0.010937,0.420416,0.065910,0.035141,0.575468,0.005508,0.124603,2.857859,0.611604,0.740107,0.466613,0.431823,0.240166,0.289420,0.211070,0.224024,0.221974,0.181675,0.172589,0.185961,0.008927,0.004965,0.030561,0.018919,0.009992,0.014211,0.071945,0.003081,0.004419,0.007771,0.008932,0.010997,0.020005,angry male
0.059419,0.006888,2.915562,0.216767,0.219109,0.648596,0.014790,0.066642,-35.180133,1.316241,0.082159,0.016261,-0.175812,-0.032208,0.218564,-0.055196,-0.024490,0.031669,-0.122061,-0.051111,-0.012190,0.006694,0.004070,0.047606,0.013235,0.008653,0.011019,0.096899,0.001721,0.003534,0.006796,0.008990,0.005695,0.036475,0.041922,0.008988,0.305704,0.076906,0.051317,0.422493,0.028209,0.068149,3.437732,0.869573,0.700412,0.480737,0.501268,0.362729,0.355958,0.243659,0.265845,0.278555,0.236303,0.291959,0.185198,0.008660,0.008361,0.059598,0.017459,0.009453,0.013666,0.039926,0.002254,0.004495,0.007149,0.010786,0.006060,0.016222,angry male
0.033043,0.007079,2.081777,0.322982,0.236549,0.479222,0.004964,0.043604,-40.007984,0.938137,0.028850,0.017844,-0.109394,-0.035947,0.090897,-0.025859,-0.060301,-0.095619,-0.118621,-0.053351,-0.073672,0.007408,0.004852,0.022447,0.013502,0.009837,0.007832,0.023098,0.001848,0.005781,0.006430,0.008793,0.003406,0.013098,0.027950,0.010012,0.569473,0.106394,0.055977,0.514043,0.004594,0.069989,3.571013,0.678859,0.527047,0.403216,0.267665,0.235418,0.223285,0.208955,0.196409,0.221677,0.146304,0.231171,0.183649,0.008012,0.008064,0.022241,0.018849,0.008948,0.008346,0.030221,0.001916,0.007399,0.007104,0.008946,0.004204,0.011250,angry male
0.069889,0.013574,2.563446,0.274814,0.226870,0.910706,0.005323,0.129876,-34.117831,1.273607,0.108485,-0.037335,-0.308912,-0.017188,0.108229,-0.114107,-0.066436,-0.064853,-0.051258,0.062223,-0.015348,0.008777,0.003281,0.016000,0.010864,0.013707,0.009182,0.019648,0.002870,0.007933,0.010602,0.013428,0.006809,0.012153,0.051135,0.014734,0.574307,0.073589,0.031442,0.628392,0.003476,0.127226,3.312452,0.801145,0.791312,0.413353,0.487107,0.304043,0.314878,0.239257,0.266583,0.200508,0.212145,0.228221,0.215867,0.011799,0.004087,0.018094,0.011679,0.015460,0.011630,0.023727,0.004087,0.012491,0.012415,0.014956,0.008696,0.007933,angry male
0.096803,0.005645,2.915471,0.203949,0.216850,0.903647,0.005166,0.137392,-33.141188,1.345361,0.161046,-0.008690,-0.460818,-0.056265,-0.088171,-0.021166,-0.023901,-0.041844,0.053378,-0.185557,-0.001880,0.011657,0.007484,0.018686,0.013600,0.022217,0.017734,0.021710,0.002847,0.008684,0.011467,0.016013,0.008094,0.013943,0.032308,0.009312,0.403498,0.041574,0.025109,0.321530,0.003474,0.060416,2.212076,0.704118,0.679836,0.420262,0.362921,0.244590,0.255201,0.229186,0.178168,0.192137,0.157494,0.154585,0.146105,0.009049,0.012945,0.008928,0.012715,0.017050,0.012601,0.015175,0.003048,0.008325,0.010879,0.012875,0.007991,0.006486,angry male
